amendment	plant_code	plant_species	tissue	dryweight
_Control	G	Beta vulgaris	root	0.0015
_Control	G	Beta vulgaris	root	0.0019
_Control	G	Beta vulgaris	root	0.0008
_Control	G	Beta vulgaris	root	0.0022
_Control	G	Beta vulgaris	root	0.0014
_Control	G	Beta vulgaris	root	0.0005
_Control	G	Beta vulgaris	root	0.001
_Control	G	Beta vulgaris	root	0.0021
_Control	G	Beta vulgaris	root	0.0013
_Control	H	B. oleracea var capitata	root	0.0033
_Control	H	B. oleracea var capitata	root	0.0025
_Control	H	B. oleracea var capitata	root	0.0035
_Control	H	B. oleracea var capitata	root	0.0016
_Control	H	B. oleracea var capitata	root	0.0027
_Control	H	B. oleracea var capitata	root	0.0028
_Control	H	B. oleracea var capitata	root	0.0037
_Control	H	B. oleracea var capitata	root	0.0022
_Control	H	B. oleracea var capitata	root	0.0025
_Control	H	B. oleracea var capitata	root	0.0064
_Control	H	B. oleracea var capitata	root	0.002
_Control	H	B. oleracea var capitata	root	0.0048
_Control	H	B. oleracea var capitata	root	0.0064
_Control	H	B. oleracea var capitata	root	0.0022
_Control	H	B. oleracea var capitata	root	0.0003
_Control	H	B. oleracea var capitata	root	0.0024
_Control	H	B. oleracea var capitata	root	0.0018
_Control	H	B. oleracea var capitata	root	0.0018
_Control	H	B. oleracea var capitata	root	0.002
_Control	H	B. oleracea var capitata	root	0.0065
_Control	H	B. oleracea var capitata	root	0.0029
_Control	H	B. oleracea var capitata	root	0.0012
_Control	H	B. oleracea var capitata	root	0.0029
_Control	H	B. oleracea var capitata	root	0.0021
_Control	H	B. oleracea var capitata	root	0.0039
_Control	H	B. oleracea var capitata	root	0.0041
_Control	I	Cucumis sativus	root	0.006
_Control	I	Cucumis sativus	root	0.0053
_Control	I	Cucumis sativus	root	0.0038
_Control	I	Cucumis sativus	root	0.0138
_Control	I	Cucumis sativus	root	0.0221
_Control	I	Cucumis sativus	root	0.0306
_Control	I	Cucumis sativus	root	0.0051
_Control	I	Cucumis sativus	root	0.004
_Control	I	Cucumis sativus	root	0.0032
_Control	I	Cucumis sativus	root	0.0071
_Control	I	Cucumis sativus	root	0.0164
_Control	I	Cucumis sativus	root	0.008
_Control	I	Cucumis sativus	root	0.0093
_Control	I	Cucumis sativus	root	0.0071
_Control	I	Cucumis sativus	root	0.0083
_Control	I	Cucumis sativus	root	0.0055
_Control	I	Cucumis sativus	root	0.0153
_Control	I	Cucumis sativus	root	0.0025
_Control	I	Cucumis sativus	root	0.0109
_Control	I	Cucumis sativus	root	0.0063
_Control	I	Cucumis sativus	root	0.0059
_Control	I	Cucumis sativus	root	0.0049
_Control	I	Cucumis sativus	root	0.0063
_Control	I	Cucumis sativus	root	0.0052
_Control	J	Solanum lycopersicum	root	0.0018
_Control	J	Solanum lycopersicum	root	0.0013
_Control	J	Solanum lycopersicum	root	0.0009
_Control	J	Solanum lycopersicum	root	0.0012
_Control	J	Solanum lycopersicum	root	0.0027
_Control	J	Solanum lycopersicum	root	0.0035
_Control	J	Solanum lycopersicum	root	0.0012
_Control	J	Solanum lycopersicum	root	0.0043
_Control	J	Solanum lycopersicum	root	0.0012
_Control	J	Solanum lycopersicum	root	0.0026
_Control	J	Solanum lycopersicum	root	0.001
_Control	J	Solanum lycopersicum	root	0.004
_Control	J	Solanum lycopersicum	root	0.0025
_Control	J	Solanum lycopersicum	root	0.0059
_Control	J	Solanum lycopersicum	root	0.0026
_Control	J	Solanum lycopersicum	root	0.0025
_Control	J	Solanum lycopersicum	root	0.0034
_Control	K	Capsicum annuum	root	0.0007
_Control	K	Capsicum annuum	root	0.0029
_Control	K	Capsicum annuum	root	0.0022
_Control	K	Capsicum annuum	root	0.004
_Control	K	Capsicum annuum	root	0.002
_Control	K	Capsicum annuum	root	0.0025
_Control	K	Capsicum annuum	root	0.0011
_Control	K	Capsicum annuum	root	0.003
_Control	K	Capsicum annuum	root	0.002
_Control	K	Capsicum annuum	root	0.0003
_Control	K	Capsicum annuum	root	0.0037
_Control	K	Capsicum annuum	root	0.001
_Control	K	Capsicum annuum	root	0.0033
_Control	L	Zea mays	root	0.0246
_Control	L	Zea mays	root	0.0257
_Control	L	Zea mays	root	0.0078
_Control	L	Zea mays	root	0.0129
_Control	L	Zea mays	root	0.0165
_Control	L	Zea mays	root	0.0265
_Control	L	Zea mays	root	0.0107
_Control	L	Zea mays	root	0.0275
_Control	L	Zea mays	root	0.0362
_Control	L	Zea mays	root	0.0091
_Control	L	Zea mays	root	0.0393
_Control	L	Zea mays	root	0.0332
_Control	L	Zea mays	root	0.013
_Control	L	Zea mays	root	0.0244
_Control	L	Zea mays	root	0.0626
